PeakID (cmd=annotatePeaks.pl hg19.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rs2028900	chr2	85767736	85767735	+	0	NA	intron (NM_005911, intron 1 of 8)	intron (NM_005911, intron 1 of 8)	1444	NM_005911	4144	Hs.516157	NM_005911	ENSG00000168906	MAT2A	MATA2|MATII|SAMS2	methionine adenosyltransferase 2A	protein-coding
rs8052913	chr16	82166182	82166181	+	0	NA	Intergenic	AluSp|SINE|Alu	37648	NM_005792	10200	Hs.344400	NM_005792	ENSG00000135698	MPHOSPH6	MPP|MPP-6|MPP6	M-phase phosphoprotein 6	protein-coding
rs58235267	chr2	63277844	63277843	+	0	NA	promoter-TSS (NR_130153)	promoter-TSS (NR_130153)	-122	NM_014562	5013	Hs.734360	NM_014562	ENSG00000115507	OTX1	-	orthodenticle homeobox 1	protein-coding
rs73913932	chr2	10094527	10094526	+	0	NA	intron (NM_198182, intron 1 of 15)	intron (NM_198182, intron 1 of 15)	2704	NM_198182	29841	Hs.418493	NM_198182	ENSG00000134317	GRHL1	LBP32|MGR|NH32|TFCP2L2	grainyhead like transcription factor 1	protein-coding
rs11691517	chr2	111893097	111893096	+	0	NA	intron (NM_138625, intron 3 of 4)	intron (NM_138625, intron 3 of 4)	14605	NM_001204111	10018	Hs.469658	NM_006538	ENSG00000153094	BCL2L11	BAM|BIM|BOD	BCL2 like 11	protein-coding
rs12634	chr9	132573537	132573536	+	0	NA	TTS (NM_014506)	TTS (NM_014506)	8073	NM_014506	27348	Hs.252682	NM_014506	ENSG00000136816	TOR1B	DQ1	torsin family 1 member B	protein-coding
rs77821238	chr4	140948836	140948835	+	0	NA	intron (NM_018717, intron 1 of 4)	CR1_Mam|LINE|CR1	-100334	NR_147610	101927516	Hs.662570	NR_147610		LOC101927516	-	uncharacterized LOC101927516	ncRNA
rs10793821	chr5	133836210	133836209	+	0	NA	Intergenic	AluSg|SINE|Alu	-6034	NR_105045	101927934	Hs.535775	NR_105045	ENSG00000251169	LINC01843	-	long intergenic non-protein coding RNA 1843	ncRNA
rs12913603	chr15	70668825	70668824	+	0	NA	Intergenic	G-rich|Low_complexity|Low_complexity	129443	NR_146562	105370880		NR_146562	ENSG00000259473	LINC02205	-	long intergenic non-protein coding RNA 2205	ncRNA
rs963800	chr6	160150280	160150279	+	0	NA	intron (NM_152857, intron 1 of 5)	intron (NM_152857, intron 1 of 5)	1741	NM_001270533	9589	Hs.446091	NM_004906	ENSG00000146457	WTAP	Mum2	WT1 associated protein	protein-coding
rs151038334	chr3	107193338	107193337	+	0	NA	Intergenic	L1PA6|LINE|L1	43560	NR_110039	101929607	Hs.252565	NR_110039	ENSG00000273125	LINC01990	-	long intergenic non-protein coding RNA 1990	ncRNA
rs11043143	chr11	2234094	2234093	+	0	NA	Intergenic	Intergenic	39800	NR_039834	100616126		NR_039834	ENSG00000265258	MIR4686	-	microRNA 4686	ncRNA
rs4826594	chrX	54454407	54454406	+	0	NA	Intergenic	MLT1E1A|LTR|ERVL-MaLR	-12402	NM_001346789	90121	Hs.522662	NM_058163	ENSG00000158526	TSR2	DBA14|DT1P1A10|WGG1	TSR2 ribosome maturation factor	protein-coding
rs61739424	chr5	177683906	177683905	+	0	NA	exon (NM_173465, exon 14 of 29)	exon (NM_173465, exon 14 of 29)	-24082	NR_103508	85007	Hs.248746	NM_153373	ENSG00000175309	PHYKPL	AGXT2L2|PHLU	5-phosphohydroxy-L-lysine phospho-lyase	protein-coding
rs1160267	chr8	23529522	23529521	+	0	NA	Intergenic	Intergenic	10881	NM_001256339	4824	Hs.55999	NM_006167	ENSG00000167034	NKX3-1	BAPX2|NKX3|NKX3.1|NKX3A	NK3 homeobox 1	protein-coding
rs6956484	chr7	27564863	27564862	+	0	NA	TTS (NM_152740)	TTS (NM_152740)	-90731	NR_122123	790953	Hs.571330	NR_122122		TSL	-	testis-expressed, seven-twelve, leukemia	ncRNA
rs2277283	chr11	61908441	61908440	+	0	NA	exon (NM_020238, exon 10 of 18)	exon (NM_020238, exon 10 of 18)	16957	NM_001040694	3619	Hs.142179	NM_020238	ENSG00000149503	INCENP	-	inner centromere protein	protein-coding
rs56222401	chr12	49672715	49672714	+	0	NA	Intergenic	Intergenic	13849	NM_032704	84790	Hs.652390	NM_032704	ENSG00000167553	TUBA1C	TUBA6|bcm948	tubulin alpha 1c	protein-coding
rs35283980	chr18	56746000	56745999	+	0	NA	Intergenic	Intergenic	43088	NR_024021	390858	Hs.716280	NR_024021		OACYLP	ACYL3P	O-acyltransferase like, pseudogene	pseudo
rs2672843	chr5	177891552	177891551	+	0	NA	intron (NM_173465, intron 2 of 28)	intron (NM_173465, intron 2 of 28)	125843	NM_173465	91522	Hs.660026	NM_173465	ENSG00000050767	COL23A1	-	collagen type XXIII alpha 1 chain	protein-coding
rs339351	chr6	117200435	117200434	+	0	NA	intron (NM_173560, intron 2 of 18)	intron (NM_173560, intron 2 of 18)	2029	NM_173560	222546	Hs.352276	NM_173560	ENSG00000185002	RFX6	MTCHRS|MTFS|RFXDC1|dJ955L16.1	regulatory factor X6	protein-coding
rs73700335	chr8	108923108	108923107	+	0	NA	intron (NM_001317942, intron 4 of 4)	AluJr|SINE|Alu	171060	NM_001317942	340419	Hs.444834	NM_178565	ENSG00000147655	RSPO2	CRISTIN2|HHRRD|TETAMS2	R-spondin 2	protein-coding
rs2074840	chr2	242141720	242141719	+	0	NA	exon (NM_001370694, exon 8 of 25)	exon (NM_001370694, exon 8 of 25)	13627	NM_001370694	50636	Hs.163909	NM_001001666	ENSG00000146205	ANO7	D-TMPP|DTMPP|IPCA-5|IPCA5|NGEP|PCANAP5|PCANAP5L|TMEM16G	anoctamin 7	protein-coding
rs76551843	chr5	169172134	169172133	+	0	NA	intron (NR_156756, intron 22 of 52)	intron (NR_156756, intron 22 of 52)	107854	NR_156756	1794	Hs.586174	NM_004946	ENSG00000134516	DOCK2	IMD40	dedicator of cytokinesis 2	protein-coding
rs76765083	chr19	51362716	51362715	+	0	NA	intron (NM_001648, intron 4 of 4)	intron (NM_001648, intron 4 of 4)	4544	NM_001648	354	Hs.171995	NM_001648	ENSG00000142515	KLK3	APS|KLK2A1|PSA|hK3	kallikrein related peptidase 3	protein-coding
rs34295433	chr1	183032448	183032447	+	0	NA	intron (NM_002293, intron 1 of 27)	intron (NM_002293, intron 1 of 27)	39892	NM_002293	3915	Hs.609663	NM_002293	ENSG00000135862	LAMC1	LAMB2	laminin subunit gamma 1	protein-coding
rs6141551	chr20	34006971	34006970	+	0	NA	Intergenic	AluSq2|SINE|Alu	-7025	NM_199487	55245	Hs.726290	NM_018244	ENSG00000101019	UQCC1	BFZB|C20orf44|CBP3|UQCC	ubiquinol-cytochrome c reductase complex assembly factor 1	protein-coding
rs12938538	chr17	56426028	56426027	+	0	NA	intron (NM_003168, intron 2 of 4)	L2c|LINE|L2	3535	NR_073470	6827	Hs.439481	NM_003168	ENSG00000213246	SUPT4H1	SPT4|SPT4H|SUPT4H|Supt4a	SPT4 homolog, DSIF elongation factor subunit	protein-coding
rs577952184	chr3	170083541	170083540	+	0	NA	intron (NM_001248008, intron 1 of 5)	intron (NM_001248008, intron 1 of 5)	6129	NM_001248008	6498	Hs.536655	NM_005414	ENSG00000136603	SKIL	SNO|SnoA|SnoI|SnoN	SKI like proto-oncogene	protein-coding
rs111595856	chr2	121103599	121103598	+	0	NA	promoter-TSS (NM_002193)	promoter-TSS (NM_002193)	-114	NM_002193	3625	Hs.1735	NM_002193	ENSG00000163083	INHBB	-	inhibin subunit beta B	protein-coding
rs11825796	chr11	68980789	68980788	+	0	NA	Intergenic	MLT1C|LTR|ERVL-MaLR	-41758	NR_104161	338694	Hs.564235	NR_104161	ENSG00000261070	LOC338694	-	uncharacterized LOC338694	ncRNA
rs1048374	chr11	58902680	58902679	+	0	NA	non-coding (NR_110184, exon 4 of 4)	non-coding (NR_110184, exon 4 of 4)	-7540	NM_001142520	63901	Hs.150651	NM_022074	ENSG00000166801	FAM111A	GCLEB|KCS2	family with sequence similarity 111 member A	protein-coding
rs5794883	chr11	113700547	113700546	+	0	NA	intron (NM_001346267, intron 7 of 22)	AluJr4|SINE|Alu	45748	NM_001346265	57646	Hs.503891	NM_020886	ENSG00000048028	USP28	-	ubiquitin specific peptidase 28	protein-coding
rs77541621	chr8	128077147	128077146	+	0	NA	Intergenic	Intergenic	-14973	NR_109833	101867536	Hs.652970	NR_109833	ENSG00000282961	PRNCR1	CARLo-3|PCAT8	prostate cancer associated non-coding RNA 1	ncRNA
rs72811270	chr17	12585460	12585459	+	0	NA	intron (NR_104605, intron 2 of 2)	intron (NR_104605, intron 2 of 2)	16252	NM_153604	93649	Hs.462257	NM_153604	ENSG00000141052	MYOCD	MYCD	myocardin	protein-coding
rs61890184	chr11	7547588	7547587	+	0	NA	intron (NM_001351853, intron 1 of 25)	intron (NM_001351853, intron 1 of 25)	12357	NM_003621	8495	Hs.655714	NM_003621	ENSG00000166387	PPFIBP2	Cclp1	PPFIA binding protein 2	protein-coding
rs4802297	chr19	38738131	38738130	+	0	NA	Intergenic	AluSp|SINE|Alu	8884	NM_033256	94274	Hs.631569	NM_033256	ENSG00000167641	PPP1R14A	CPI-17|CPI17|PPP1INL	protein phosphatase 1 regulatory inhibitor subunit 14A	protein-coding
rs10122990	chr9	19072247	19072246	+	0	NA	intron (NM_001270890, intron 11 of 16)	AluSz|SINE|Alu	-8462	NR_003009	677776	Hs.689635	NR_003009	ENSG00000251733	SCARNA8	U92	small Cajal body-specific RNA 8	ncRNA
rs2659051	chr19	51345569	51345568	+	0	NA	intron (NR_131205, intron 2 of 2)	LTR40a|LTR|ERVL	-10789	NM_001277081	55554	Hs.567535	NM_017509	ENSG00000174562	KLK15	ACO|HSRNASPH	kallikrein related peptidase 15	protein-coding
rs77216612	chr12	12877984	12877983	+	0	NA	promoter-TSS (NM_001130415)	promoter-TSS (NM_001130415)	-868	NM_001130415	81575	Hs.23388	NM_030817	ENSG00000178878	APOLD1	VERGE	apolipoprotein L domain containing 1	protein-coding
rs183373024	chr8	128104118	128104117	+	0	NA	non-coding (NR_109833, exon 1 of 1)	non-coding (NR_109833, exon 1 of 1)	-9651	NR_119373	103164619	Hs.571401	NR_119373	ENSG00000254166	PCAT2	CARLO4|CARLo-4|PCA2|TCONS_00015167	prostate cancer associated transcript 2	ncRNA
rs1270884	chr12	114685572	114685571	+	0	NA	Intergenic	MIRc|SINE|MIR	-5996	NR_146536	105369996	Hs.577438	NR_146536	ENSG00000257476	LINC02459	-	long intergenic non-protein coding RNA 2459	ncRNA
rs11649743	chr17	36074980	36074979	+	0	NA	intron (NM_001304286, intron 4 of 6)	L2a|LINE|L2	30071	NM_001304286	6928	Hs.191144	NM_000458	ENSG00000275410	HNF1B	FJHN|HNF-1-beta|HNF-1B|HNF1beta|HNF2|HPC11|LF-B3|LFB3|MODY5|TCF-2|TCF2|VHNF1	HNF1 homeobox B	protein-coding
rs34540271	chr9	18554774	18554773	+	0	NA	intron (NM_001040272, intron 3 of 28)	L1MC1|LINE|L1	-18531	NR_036107	100422869		NR_036107	ENSG00000264638	MIR3152	-	microRNA 3152	ncRNA
rs9469899	chr6	34793125	34793124	+	0	NA	intron (NM_017754, intron 4 of 20)	AluSq2|SINE|Alu	33264	NM_017754	54887	Hs.700656	NM_017754	ENSG00000065060	UHRF1BP1	C6orf107|ICBP90|dJ349A12.1	UHRF1 binding protein 1	protein-coding
rs35389879	chr7	21812044	21812043	+	0	NA	intron (NM_001277115, intron 55 of 81)	intron (NM_001277115, intron 55 of 81)	173474	NM_018719	55536	Hs.744069	NM_018719	ENSG00000164649	CDCA7L	JPO2|R1|RAM2	cell division cycle associated 7 like	protein-coding
rs708723	chr1	205739267	205739266	+	0	NA	3' UTR (NM_001135663, exon 4 of 4)	3' UTR (NM_001135663, exon 4 of 4)	5344	NM_001135663	8934	Hs.115325	NM_003929	ENSG00000117280	RAB29	RAB7L|RAB7L1	RAB29, member RAS oncogene family	protein-coding
rs139283528	chr2	63938757	63938756	+	0	NA	Intergenic	AluJo|SINE|Alu	122471	NM_001199112	4190	Hs.526521	NM_005917	ENSG00000014641	MDH1	HEL-S-32|MDH-s|MDHA|MGC:1375|MOR2	malate dehydrogenase 1	protein-coding
rs33984059	chr15	56385869	56385868	+	0	NA	exon (NM_022841, exon 10 of 10)	exon (NM_022841, exon 10 of 10)	96262	NM_001370554	64864	Hs.745089	NM_022841	ENSG00000181827	RFX7	RFXDC2	regulatory factor X7	protein-coding
rs9472120	chr6	43709786	43709785	+	0	NA	Intergenic	MIR|SINE|MIR	-28161	NM_001171625	7422	Hs.73793	NM_003376	ENSG00000112715	VEGFA	MVCD1|VEGF|VPF	vascular endothelial growth factor A	protein-coding
rs4513875	chr7	1928160	1928159	+	0	NA	intron (NM_001304523, intron 17 of 17)	(CGTG)n|Simple_repeat|Simple_repeat	-44270	NR_039799	100616160		NR_039799	ENSG00000265089	MIR4655	-	microRNA 4655	ncRNA
rs11480453	chr20	31347513	31347512	+	0	NA	Intergenic	AluY|SINE|Alu	-2679	NM_006892	1789	Hs.643024	NM_006892	ENSG00000088305	DNMT3B	ICF|ICF1|M.HsaIIIB	DNA methyltransferase 3 beta	protein-coding
rs7463326	chr8	128027955	128027954	+	0	NA	intron (NR_045262, intron 1 of 1)	MIRb|SINE|MIR	2555	NR_045262	100750225	Hs.571530	NR_045262	ENSG00000253438	PCAT1	PCA1|PCAT-1	prostate cancer associated transcript 1	ncRNA
rs507603	chr1	179897071	179897070	+	0	NA	Intergenic	Intergenic	-26875	NM_014810	9857	Hs.413045	NM_014810	ENSG00000135837	CEP350	CAP350|GM133	centrosomal protein 350	protein-coding
rs17804499	chr4	74442350	74442349	+	0	NA	exon (NM_001270392, exon 8 of 10)	exon (NM_001270392, exon 8 of 10)	43804	NM_177532	166824	Hs.529677	NM_177532	ENSG00000169435	RASSF6	-	Ras association domain family member 6	protein-coding
